postgres_container  | 
postgres_container  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres_container  | 
postgres_container  | 2025-01-17 17:05:21.207 UTC [1] LOG:  starting PostgreSQL 13.18 (Debian 13.18-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit
postgres_container  | 2025-01-17 17:05:21.208 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres_container  | 2025-01-17 17:05:21.208 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres_container  | 2025-01-17 17:05:21.209 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres_container  | 2025-01-17 17:05:21.215 UTC [27] LOG:  database system was shut down at 2025-01-17 17:05:08 UTC
postgres_container  | 2025-01-17 17:05:21.227 UTC [1] LOG:  database system is ready to accept connections
postgres_container  | 2025-01-17 17:12:18.046 UTC [123] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:12:38.866 UTC [122] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:12:45.894 UTC [1103] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:12:52.300 UTC [1124] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:12:58.580 UTC [1145] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:05.143 UTC [120] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:11.592 UTC [1173] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:18.125 UTC [1058] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:24.238 UTC [1208] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:30.605 UTC [165] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:37.116 UTC [1240] LOG:  unexpected EOF on client connection with an open transaction
postgres_container  | 2025-01-17 17:13:53.423 UTC [1235] LOG:  unexpected EOF on client connection with an open transaction
